time,gFx,gFy,gFz,wx,wy,wz
2026-07-01T12:03:57.999Z,-0.0126,-0.1319,-0.9879,0.0352,0.0275,-0.0014
2026-07-01T12:03:58.011Z,-0.0085,-0.1295,-0.9824,0.0237,0.0270,-0.0113
2026-07-01T12:03:58.020Z,-0.0057,-0.1301,-0.9805,0.0120,0.0168,-0.0134
2026-07-01T12:03:58.031Z,0.0004,-0.1330,-0.9826,0.0053,0.0025,-0.0144
2026-07-01T12:03:58.041Z,0.0019,-0.1349,-0.9891,-0.0026,0.0031,-0.0155
2026-07-01T12:03:58.049Z,0.0002,-0.1392,-0.9921,-0.0158,0.0031,-0.0179
2026-07-01T12:03:58.064Z,0.0006,-0.1384,-0.9953,-0.0254,0.0136,-0.0168
2026-07-01T12:03:58.069Z,0.0015,-0.1374,-0.9986,-0.0321,0.0151,-0.0140
2026-07-01T12:03:58.081Z,0.0059,-0.1355,-0.9993,-0.0252,0.0100,-0.0066
2026-07-01T12:03:58.090Z,0.0074,-0.1308,-0.9986,-0.0108,0.0111,0.0050
2026-07-01T12:03:58.100Z,-0.0008,-0.1269,-0.9954,-0.0066,0.0129,0.0055
2026-07-01T12:03:58.112Z,-0.0128,-0.1263,-0.9911,-0.0013,0.0037,0.0005
2026-07-01T12:03:58.120Z,-0.0189,-0.1281,-0.9884,0.0072,0.0004,-0.0036
2026-07-01T12:03:58.130Z,-0.0144,-0.1308,-0.9903,0.0058,-0.0007,-0.0041
2026-07-01T12:03:58.140Z,-0.0094,-0.1342,-0.9945,0.0041,0.0014,-0.0089
2026-07-01T12:03:58.150Z,-0.0037,-0.1380,-0.9958,0.0133,0.0112,-0.0106
2026-07-01T12:03:58.161Z,0.0030,-0.1381,-0.9989,0.0183,0.0139,-0.0040
2026-07-01T12:03:58.170Z,0.0057,-0.1378,-0.9966,0.0209,0.0056,-0.0015
2026-07-01T12:03:58.180Z,-0.0015,-0.1336,-0.9947,0.0173,0.0157,0.0002
2026-07-01T12:03:58.191Z,-0.0006,-0.1321,-0.9882,0.0091,0.0285,0.0014
2026-07-01T12:03:58.200Z,-0.0005,-0.1325,-0.9843,0.0043,0.0210,0.0015
2026-07-01T12:03:58.211Z,-0.0002,-0.1302,-0.9857,-0.0033,0.0131,0.0022
2026-07-01T12:03:58.221Z,0.0010,-0.1293,-0.9887,-0.0116,0.0063,0.0003
2026-07-01T12:03:58.231Z,0.0007,-0.1277,-0.9926,-0.0201,0.0037,-0.0065
2026-07-01T12:03:58.241Z,0.0029,-0.1289,-0.9914,-0.0266,0.0050,-0.0050
2026-07-01T12:03:58.250Z,0.0040,-0.1321,-0.9905,-0.0241,0.0121,-0.0070
2026-07-01T12:03:58.262Z,-0.0014,-0.1356,-0.9985,-0.0071,0.0063,0.0014
2026-07-01T12:03:58.270Z,-0.0014,-0.1356,-0.9985,0.0108,-0.0059,0.0074
